"objid";"regionName"
720;" Default"
820;"WA - East"
920;"WA - West"
1020;"Alberta"
1050;"Hood River Valley"
1150;"Arizona"
1250;"Idaho Hot"
1350;"Idaho Mid"
1450;"Idaho Cool"
