73	51567	86.5667	42.0833	10558	10579	1951	5	2000	12	-1495598	4674154
74	51573	89.2	42.9333	345	372	1951	7	2000	12	-1268743	4731745
75	51628	80.2333	41.1667	11038	11054	1953	6	2000	12	-2025663	4685584
76	51633	81.9	41.7833	12292	12304	1958	10	2000	12	-1875876	4720337
77	51642	84.25	41.7833	9761	9776	1958	10	2000	12	-1687989	4678156
78	51644	82.95	41.7167	10990	11000	1951	1	2000	12	-1793704	4693620
79	51656	86.1333	41.75	9315	9329	1958	7	2000	12	-1537436	4643885
80	51701	75.4	40.5167	35044	35074	1958	10	2000	12	-2431732	4723481
81	51705	75.25	39.7167	21757	21775	1955	11	2000	12	-2470348	4640863
82	51709	75.9833	39.4667	12887	12907	1951	1	2000	12	-2419360	4595794
83	51711	78.45	40.9333	19849	19860	1957	1	2000	12	-2175103	4697859
84	51716	78.5667	39.8	11165	11176	1953	3	2000	12	-2199428	4571889
85	51720	79.05	40.5	11618	11630	1959	9	2000	12	-2139720	4637626
86	51730	81.05	40.5	10122	10130	1958	12	2000	12	-1978159	4596148
87	51747	83.6667	39	10993	10993	1999	1	2000	12	-1801701	4381295
88	51765	87.7	40.6333	8460	8471	1957	1	2000	12	-1432955	4496593
89	51777	88.1667	39.0333	8883	8893	1953	3	2000	12	-1425164	4311846
90	51804	75.2333	37.7833	30909	30937	1957	1	2000	12	-2536224	4432537
91	51811	77.2667	38.4333	12312	12320	1953	7	2000	12	-2347416	4452943
92	51818	78.2833	37.6167	13754	13763	1959	1	2000	12	-2288038	4340349
93	51828	79.9333	37.1333	13746	13747	1953	2	2000	12	-2163500	4250556
94	51839	82.7167	37.0667	14093	14106	1956	12	2000	12	-1929249	4185864
95	51848	83.65	37.9333	12628	12642	1960	1	1998	12	-1828817	4263812
96	51855	85.55	38.15	12475	12484	1953	5	2000	12	-1663488	4254375
97	51886	90.2167	38.35	31385	31387	1958	9	2000	12	-1264436	4207826
98	51931	81.65	36.85	14220	14233	1955	11	2000	12	-2025641	4183257
99	52101	93	43.6	16500	16509	1956	12	2000	12	-956293.3	4763363
100	52112	95.13333333	43.76666667	4790	4790	2003	1	2007	12	1246071.96	2725290.29
101	52118	94.7	43.2667	17286	17295	1958	11	2000	12	-825223	4710901
102	52203	93.5167	42.8167	7372	7388	1951	1	2000	12	-925465	4671042
103	52267	101.0667	41.95	9405	9413	1959	11	2000	12	-321482.3	4526265
104	52313	94.6667	41.5333	17000	17010	1952	7	2000	12	-848152.4	4517116
105	52323	96.8833	41.5833	19627	19637	1957	12	2000	12	-666215.9	4505823
106	52343	99.9	41.9333	9656	9656	1958	11	1986	12	-416863.4	4528724
107	52378	102.3667	41.3667	9600	9610	1959	6	2000	12	-217003.6	4457034
108	52418	94.6833	40.15	11390	11396	1951	1	2000	12	-862983.6	4361752
109	52424	95.7667	40.5333	11708	11718	1951	1	2000	12	-768616.3	4395909
110	52436	97.0333	40.2667	15260	15270	1952	7	2000	12	-665836	4356778
111	52441	98.6167	40.7167	15910	15916	1965	12	1988	12	-530441.6	4397897
112	52446	99.5167	40.3	11774	11786	1955	1	2000	12	-458331.5	4346468
113	52447	98.9	40	12702	12712	1989	1	2000	12	-511897.6	4315667
